INSERT INTO 'mydb'.'User' ('userID','email',`password`,`username`,`birthdate`,`avatarURL`) VALUES
(NULL,'miocene@gmail.com','713833260','miocene','1997-07-04','http://i.imgur.com/NYrKV.gif'),
(NULL,'heirgeneral@gmail.com','351845136','heir general','1984-11-10','http://i.imgur.com/NYrKV.gif'),
(NULL,'likealord@gmail.com','-649842794','like a lord','1991-02-11','http://i.imgur.com/NYrKV.gif'),
(NULL,'runfor@gmail.com','1443267230','run for','1976-05-21','http://i.imgur.com/NYrKV.gif'),
(NULL,'movingroad@gmail.com','-1925558311','moving road','1982-03-06','http://i.imgur.com/NYrKV.gif'),
(NULL,'amylobacter@gmail.com','-1550681904','amylobacter','1987-09-06','http://i.imgur.com/NYrKV.gif'),
(NULL,'skewbald@gmail.com','89938985','skewbald','1991-01-26','http://i.imgur.com/NYrKV.gif'),
(NULL,'splendiferous@gmail.com','-1223034725','splendiferous','1976-10-06','http://i.imgur.com/NYrKV.gif'),
(NULL,'bepious@gmail.com','1607527833','be pious','1992-11-01','http://i.imgur.com/NYrKV.gif'),
(NULL,'exanthema@gmail.com','-1485116164','exanthema','1970-11-26','http://i.imgur.com/NYrKV.gif'),
(NULL,'remodel@gmail.com','-1631910285','remodel','1992-06-24','http://i.imgur.com/NYrKV.gif'),
(NULL,'successless@gmail.com','-510669410','successless','1977-12-14','http://i.imgur.com/NYrKV.gif'),
(NULL,'spuminess@gmail.com','771980624','spuminess','1980-04-04','http://i.imgur.com/NYrKV.gif'),
(NULL,'anglicize@gmail.com','2028043375','anglicize','1972-12-18','http://i.imgur.com/NYrKV.gif'),
(NULL,'animadverted@gmail.com','-713637470','animadverted','1972-04-18','http://i.imgur.com/NYrKV.gif'),
(NULL,'phonologist@gmail.com','-762760660','phonologist','1982-12-15','http://i.imgur.com/NYrKV.gif'),
(NULL,'yellowmetal@gmail.com','-540937837','yellow metal','1975-12-03','http://i.imgur.com/NYrKV.gif'),
